instanceID	internal_identifier1	internal_identifier2	label	comment
0	target-A	target-B	1	-
1	target-C	target-A	1	-
2	target-A	target-D	1	-
3	target-A	target-E	1	-
4	target-A	target-F	1	-
5	target-G	target-A	1	-
6	target-A	target-H	4	-
7	target-C	target-B	1	-
8	target-B	target-D	1	-
9	target-B	target-E	1	-
10	target-B	target-F	1	-
11	target-G	target-B	1	-
12	target-B	target-H	4	-
13	target-C	target-D	1	-
14	target-C	target-E	1	-
15	target-C	target-F	1	-
16	target-C	target-G	4	-
17	target-C	target-H	4	-
18	target-E	target-D	1	-
19	target-F	target-D	1	-
20	target-G	target-D	1	-
21	target-H	target-D	1	-
22	target-F	target-E	1	-
23	target-G	target-E	1	-
24	target-E	target-H	4	-
25	target-G	target-F	1	-
26	target-F	target-H	4	-
27	target-G	target-H	4	-
